,movie,year,imdb,metascore,votes,n_imdb
1457,Jonah Hex,2010,4.7,33,50119,47.0
1458,Animal Kingdom,2010,7.3,83,50042,73.0
1459,All Good Things,2010,6.3,57,47540,63.0
1460,Hesher,2010,7.0,45,47357,70.0
1461,You Again,2010,5.8,28,44978,58.0
1462,Everything Must Go,2010,6.4,65,44712,64.0
1463,The Last Exorcism,2010,5.6,63,44659,56.0
1464,The Back-up Plan,2010,5.3,34,44556,53.0
1465,Rabbit Hole,2010,7.0,76,44224,70.0
1466,London Boulevard,2010,6.2,52,43631,62.0
1467,Don't Be Afraid of the Dark,2010,5.6,56,43555,56.0
1468,Last Night,2010,6.6,50,43466,66.0
1469,The Runaways,2010,6.6,65,42762,66.0
1470,Vampires Suck,2010,3.4,18,42323,34.0
1471,Fair Game,2010,6.8,69,42076,68.0
1472,You Will Meet a Tall Dark Stranger,2010,6.3,51,40499,63.0
1473,Death at a Funeral,2010,5.7,51,40007,57.0
1474,Black Death,2010,6.4,71,39769,64.0
1475,The Company Men,2010,6.8,69,39661,68.0
1476,Somewhere,2010,6.3,67,39211,63.0
1477,How Do You Know,2010,5.4,46,39063,54.0
1478,MacGruber,2010,5.5,43,38716,55.0
1479,Conviction,2010,7.2,61,38595,72.0
1480,Trust,2010,6.9,60,38148,69.0
1481,Catfish,2010,7.1,65,37905,71.0
1482,Stake Land,2010,6.5,66,37825,65.0
1483,Stone,2010,5.4,58,37707,54.0
1484,13,2010,6.1,29,37412,61.0
1485,The Ward,2010,5.6,38,36972,56.0
1486,Diary of a Wimpy Kid,2010,6.2,56,36784,62.0
1487,In a Better World,2010,7.6,65,35584,76.0
1488,Tooth Fairy,2010,5.0,36,35469,50.0
1489,The Spy Next Door,2010,5.4,27,34973,54.0
1490,Greenberg,2010,6.1,76,32898,61.0
1491,Wild Target,2010,6.8,41,32751,68.0
1492,Cyrus,2010,6.3,74,31895,63.0
1493,The Illusionist,2010,7.5,82,30876,75.0
1494,The Killer Inside Me,2010,6.1,53,30829,61.0
1495,Rubber,2010,5.8,59,29740,58.0
1496,6 Souls,2010,6.1,28,29069,61.0
1497,"Tomorrow, When the War Began",2010,6.2,54,28687,62.0
1498,The Whistleblower,2010,7.2,59,28473,72.0
1499,Happythankyoumoreplease,2010,6.8,45,27899,68.0
1500,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650847,81.0
1501,Thor,2011,7.0,57,630035,70.0
1502,The Intouchables,2011,8.5,57,626472,85.0
1503,Captain America: The First Avenger,2011,6.9,66,608970,69.0
1504,X-Men: First Class,2011,7.8,65,582962,78.0
1505,Drive,2011,7.8,78,497278,78.0
1506,Limitless,2011,7.4,59,471458,74.0
1507,Rise of the Planet of the Apes,2011,7.6,68,458150,76.0
1508,Source Code,2011,7.5,74,433049,75.0
1509,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,427416,66.0
1510,"Crazy, Stupid, Love.",2011,7.4,68,420196,74.0
1511,The Hangover Part II,2011,6.5,44,416003,65.0
1512,Mission: Impossible - Ghost Protocol,2011,7.4,73,402500,74.0
1513,Horrible Bosses,2011,6.9,57,386642,69.0
1514,Warrior,2011,8.2,71,386109,82.0
1515,Sherlock Holmes: A Game of Shadows,2011,7.5,48,378747,75.0
1516,The Help,2011,8.1,62,373606,81.0
1517,The Girl with the Dragon Tattoo,2011,7.8,71,371022,78.0
1518,Transformers: Dark of the Moon,2011,6.3,42,355218,63.0
1519,Midnight in Paris,2011,7.7,81,342141,77.0
1520,In Time,2011,6.7,53,335244,67.0
1521,Fast Five,2011,7.3,66,317713,73.0
1522,Moneyball,2011,7.6,87,313286,76.0
1523,Super 8,2011,7.0,72,311620,70.0
1524,Friends with Benefits,2011,6.6,63,304327,66.0
1525,50/50,2011,7.7,72,293334,77.0
1526,Real Steel,2011,7.1,56,276557,71.0
1527,Hugo,2011,7.5,83,274372,75.0
1528,Green Lantern,2011,5.6,39,244189,56.0
1529,Bridesmaids,2011,6.8,75,241205,68.0
1530,Unknown,2011,6.9,56,228270,69.0
1531,The Grey,2011,6.8,64,221885,68.0
1532,The Adjustment Bureau,2011,7.1,60,219765,71.0
1533,The Descendants,2011,7.3,84,218497,73.0
1534,Kung Fu Panda 2,2011,7.3,67,214038,73.0
1535,Sucker Punch,2011,6.1,33,213052,61.0
1536,Paul,2011,7.0,57,212550,70.0
1537,I Am Number Four,2011,6.1,36,211787,61.0
1538,The Artist,2011,7.9,89,210508,79.0
1539,Rango,2011,7.2,75,206579,72.0
1540,The Ides of March,2011,7.1,67,203126,71.0
1541,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,199745,49.0
1542,The Adventures of Tintin,2011,7.4,68,195386,74.0
1543,Contagion,2011,6.6,70,195214,66.0
1544,Just Go with It,2011,6.4,33,192968,64.0
1545,The Lincoln Lawyer,2011,7.3,63,190018,73.0
1546,Cowboys & Aliens,2011,6.0,50,189716,60.0
1547,No Strings Attached,2011,6.2,50,189381,62.0
1548,A Separation,2011,8.3,95,183965,83.0
1549,Rio,2011,6.9,63,183599,69.0
1550,Bad Teacher,2011,5.6,47,175290,56.0
1551,Hanna,2011,6.8,65,172354,68.0
1552,Tinker Tailor Soldier Spy,2011,7.1,85,168076,71.0
1553,The Raid: Redemption,2011,7.6,73,167294,76.0
1554,Shame,2011,7.2,72,165139,72.0
1555,Battle Los Angeles,2011,5.8,37,163816,58.0
1556,The Tree of Life,2011,6.8,85,151296,68.0
1557,The Change-Up,2011,6.3,39,148963,63.0
1558,Immortals,2011,6.0,46,148836,60.0
1559,Melancholia,2011,7.1,80,146246,71.0
1560,The Green Hornet,2011,5.8,39,145352,58.0
1561,The Mechanic,2011,6.6,49,136263,66.0
1562,War Horse,2011,7.2,72,130871,72.0
1563,Puss in Boots,2011,6.7,65,127608,67.0
1564,Cars 2,2011,6.2,57,126377,62.0
1565,We Bought a Zoo,2011,7.1,58,122598,71.0
1566,One Day,2011,7.0,48,121860,70.0
1567,Tower Heist,2011,6.2,59,120440,62.0
1568,The Skin I Live In,2011,7.6,70,117724,76.0
1569,We Need to Talk About Kevin,2011,7.5,68,116233,75.0
1570,Killer Elite,2011,6.5,44,114210,65.0
1571,Scream 4,2011,6.2,52,114189,62.0
1572,J. Edgar,2011,6.6,59,112563,66.0
1573,Hall Pass,2011,5.9,45,110969,59.0
1574,Carnage,2011,7.2,61,107324,72.0
1575,The Thing,2011,6.2,49,106717,62.0
1576,Priest,2011,5.7,41,104839,57.0
1577,Margin Call,2011,7.1,76,103066,71.0
1578,Water for Elephants,2011,6.9,52,103053,69.0
1579,Johnny English Reborn,2011,6.3,46,100357,63.0
1580,Red Riding Hood,2011,5.5,29,99367,55.0
1581,Ghost Rider: Spirit of Vengeance,2011,4.3,34,99011,43.0
1582,The Three Musketeers,2011,5.8,35,96019,58.0
1583,Final Destination 5,2011,5.9,50,93738,59.0
1584,The Iron Lady,2011,6.4,54,92691,64.0
1585,The Rum Diary,2011,6.2,56,92686,62.0
1586,Fright Night,2011,6.4,64,91911,64.0
1587,Your Highness,2011,5.5,31,91013,55.0
1588,Attack the Block,2011,6.6,75,90704,66.0
1589,Extremely Loud & Incredibly Close,2011,6.9,46,90500,69.0
1590,A Dangerous Method,2011,6.4,76,90046,64.0
1591,Headhunters,2011,7.6,72,88520,76.0
1592,Conan the Barbarian,2011,5.2,36,88196,52.0
1593,Drive Angry,2011,5.4,44,87799,54.0
1594,30 Minutes or Less,2011,6.1,49,84804,61.0
1595,Colombiana,2011,6.4,45,84223,64.0
1596,Paranormal Activity 3,2011,5.8,59,83282,58.0
1597,Season of the Witch,2011,5.4,28,82969,54.0
1598,The Rite,2011,6.0,38,82853,60.0
1599,The Best Exotic Marigold Hotel,2011,7.3,62,82734,73.0
1600,Another Earth,2011,7.0,66,82598,70.0
1601,The Muppets,2011,7.1,75,80554,71.0
1602,Take Shelter,2011,7.4,85,79771,74.0
1603,Our Idiot Brother,2011,6.4,60,79094,64.0
1604,Goon,2011,6.8,64,78042,68.0
1605,My Week with Marilyn,2011,7.0,65,77404,70.0
1606,Haywire,2011,5.8,67,77063,58.0
1607,Mr. Popper's Penguins,2011,6.0,53,76531,60.0
1608,You're Next,2011,6.5,66,75062,65.0
1609,Justin Bieber: Never Say Never,2011,1.6,52,74874,16.0
1610,The Smurfs,2011,5.5,30,74631,55.0
1611,New Year's Eve,2011,5.7,22,73683,57.0
1612,The Guard,2011,7.3,78,72579,73.0
1613,Jane Eyre,2011,7.4,76,71673,74.0
1614,Young Adult,2011,6.3,71,70549,63.0
1615,The Inbetweeners Movie,2011,6.8,44,70469,68.0
1616,Beastly,2011,5.6,40,70280,56.0
1617,Abduction,2011,5.1,25,70253,51.0
1618,Jack and Jill,2011,3.3,23,67837,33.0
1619,Detachment,2011,7.7,52,66225,77.0
1620,What's Your Number?,2011,6.1,35,65642,61.0
1621,Killer Joe,2011,6.7,62,65640,67.0
1622,God Bless America,2011,7.2,56,64615,72.0
1623,The Sitter,2011,5.7,39,64202,57.0
1624,A Very Harold & Kumar 3D Christmas,2011,6.3,61,60196,63.0
1625,The Eagle,2011,6.2,55,59308,62.0
1626,"Jeff, Who Lives at Home",2011,6.5,60,59068,65.0
1627,Machine Gun Preacher,2011,6.8,43,58306,68.0
1628,Red State,2011,6.2,50,57920,62.0
1629,The Awakening,2011,6.5,53,57780,65.0
1630,The Devil's Double,2011,7.1,52,57190,71.0
1631,Dream House,2011,6.0,35,57135,60.0
1632,Salmon Fishing in the Yemen,2011,6.8,58,56930,68.0
1633,Larry Crowne,2011,6.1,41,56066,61.0
1634,Like Crazy,2011,6.7,68,53814,67.0
1635,The Darkest Hour,2011,4.9,18,53713,49.0
1636,Something Borrowed,2011,5.9,36,52600,59.0
1637,Bernie,2011,6.8,75,52145,68.0
1638,The Art of Getting By,2011,6.6,36,51838,66.0
1639,Win Win,2011,7.2,75,50933,72.0
1640,Sanctum,2011,5.9,42,50235,59.0
1641,Zookeeper,2011,5.2,30,50209,52.0
1642,Apollo 18,2011,5.2,24,50156,52.0
1643,Perfect Sense,2011,7.1,55,48932,71.0
1644,Arthur,2011,5.7,36,47998,57.0
1645,Gnomeo & Juliet,2011,6.0,53,47635,60.0
1646,Take Me Home Tonight,2011,6.3,42,47147,63.0
1647,The Dilemma,2011,5.3,46,47068,53.0
1648,Grave Encounters,2011,6.1,33,46089,61.0
1649,Don 2,2011,7.1,49,44524,71.0
1650,Martha Marcy May Marlene,2011,6.9,75,44448,69.0
1651,The Beaver,2011,6.7,60,43932,67.0
1652,The Flowers of War,2011,7.6,46,43743,76.0
1653,Arthur Christmas,2011,7.1,69,42409,71.0
1654,Seeking Justice,2011,6.2,38,41821,62.0
1655,Footloose,2011,5.9,58,41569,59.0
1656,Hobo with a Shotgun,2011,6.1,55,40578,61.0
1657,Soul Surfer,2011,7.1,53,39907,71.0
1658,Kill the Irishman,2011,7.1,50,39723,71.0
1659,Friends with Kids,2011,6.2,55,38482,62.0
1660,The Big Year,2011,6.2,53,38389,62.0
1661,Trespass,2011,5.3,37,38135,53.0
1662,Ironclad,2011,6.2,42,37203,62.0
1663,Monte Carlo,2011,5.8,43,37127,58.0
1664,Anonymous,2011,6.9,50,36980,69.0
1665,Happy Feet Two,2011,5.9,50,36635,59.0
1666,Cedar Rapids,2011,6.3,70,34278,63.0
1667,Ra.One,2011,4.8,60,34272,48.0
1668,The Hunter,2011,6.8,63,33826,68.0
1669,The Divide,2011,5.8,28,32780,58.0
1670,In the Land of Blood and Honey,2011,4.4,56,32469,44.0
1671,The Dark Knight Rises,2012,8.4,78,1318745,84.0
1672,Django Unchained,2012,8.4,81,1139938,84.0
1673,The Avengers,2012,8.1,69,1116255,81.0
1674,The Hunger Games,2012,7.2,68,770841,72.0
1675,The Hobbit: An Unexpected Journey,2012,7.9,58,698527,79.0
1676,Silver Linings Playbook,2012,7.8,81,597449,78.0
1677,Skyfall,2012,7.8,81,572909,78.0
1678,Prometheus,2012,7.0,64,521165,70.0
1679,Ted,2012,7.0,62,519700,70.0
1680,Argo,2012,7.7,86,513682,77.0
1681,Life of Pi,2012,7.9,79,507273,79.0
1682,The Amazing Spider-Man,2012,7.0,66,503587,70.0
1683,Looper,2012,7.4,84,480206,74.0
1684,21 Jump Street,2012,7.2,69,459141,72.0
1685,The Perks of Being a Wallflower,2012,8.0,67,405243,80.0
1686,The Cabin in the Woods,2012,7.0,72,319989,70.0
1687,Brave,2012,7.1,69,317953,71.0
1688,Cloud Atlas,2012,7.5,55,316155,75.0
1689,Wreck-It Ralph,2012,7.7,72,313965,77.0
1690,Men in Black 3,2012,6.8,58,293503,68.0
1691,Flight,2012,7.3,76,290500,73.0
1692,Moonrise Kingdom,2012,7.8,84,277140,78.0
1693,Les Misérables,2012,7.6,63,273748,76.0
1694,The Expendables 2,2012,6.6,51,269128,66.0
1695,Jack Reacher,2012,7.0,50,268962,70.0
1696,Taken 2,2012,6.3,45,263533,63.0
1697,The Bourne Legacy,2012,6.7,61,259071,67.0
1698,Snow White and the Huntsman,2012,6.1,57,250702,61.0
1699,Pitch Perfect,2012,7.2,66,244361,72.0
1700,Zero Dark Thirty,2012,7.4,95,240522,74.0
1701,The Dictator,2012,6.4,58,239288,64.0
1702,John Carter,2012,6.6,51,231463,66.0
1703,Dredd,2012,7.1,60,226623,71.0
1704,Chronicle,2012,7.1,69,223052,71.0
1705,The Hunt,2012,8.3,77,222764,83.0
1706,Total Recall,2012,6.3,43,221406,63.0
1707,Dark Shadows,2012,6.2,55,220682,62.0
1708,Lincoln,2012,7.4,86,220588,74.0
1709,Battleship,2012,5.8,41,219652,58.0
1710,The Place Beyond the Pines,2012,7.3,68,216235,73.0
1711,Seven Psychopaths,2012,7.2,66,213340,72.0
1712,Lawless,2012,7.3,58,206468,73.0
1713,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,205086,55.0
1714,End of Watch,2012,7.6,68,204117,76.0
1715,Hotel Transylvania,2012,7.1,47,191409,71.0
1716,Sinister,2012,6.8,53,187353,68.0
1717,American Reunion,2012,6.7,49,186353,67.0
1718,Safe House,2012,6.8,52,183719,68.0
1719,Project X,2012,6.7,48,172309,67.0
1720,The Impossible,2012,7.6,73,168608,76.0
1721,Wrath of the Titans,2012,5.7,37,166870,57.0
1722,The Vow,2012,6.8,43,166402,68.0
1723,Ice Age: Continental Drift,2012,6.6,49,165598,66.0
1724,This Means War,2012,6.3,31,162191,63.0
1725,The Woman in Black,2012,6.4,62,159466,64.0
1726,Mud,2012,7.4,76,151178,74.0
1727,Rise of the Guardians,2012,7.3,57,139057,73.0
1728,Abraham Lincoln: Vampire Hunter,2012,5.9,42,138763,59.0
1729,Madagascar 3: Europe's Most Wanted,2012,6.9,60,137093,69.0
1730,Man on a Ledge,2012,6.6,40,134450,66.0
1731,Underworld Awakening,2012,6.4,39,133871,64.0
1732,The Master,2012,7.1,86,123459,71.0
1733,Killing Them Softly,2012,6.2,64,120990,62.0
1734,Spring Breakers,2012,5.3,63,120881,53.0
1735,Resident Evil: Retribution,2012,5.4,39,120837,54.0
1736,Magic Mike,2012,6.1,72,119756,61.0
1737,The Campaign,2012,6.1,50,115421,61.0
1738,This Is 40,2012,6.2,59,113961,62.0
1739,The Watch,2012,5.7,36,112646,57.0
1740,Savages,2012,6.5,59,112194,65.0
1741,Safety Not Guaranteed,2012,7.0,72,109319,70.0
1742,Contraband,2012,6.5,51,108502,65.0
1743,Premium Rush,2012,6.5,66,103005,65.0
1744,Seeking a Friend for the End of the World,2012,6.7,59,98737,67.0
1745,Get the Gringo,2012,7.0,60,95322,70.0
1746,Safe,2012,6.5,55,92916,65.0
1747,The Lucky One,2012,6.5,39,89695,65.0
1748,Ruby Sparks,2012,7.2,67,88374,72.0
1749,Lockout,2012,6.1,48,87652,61.0
1750,The Lorax,2012,6.4,46,86543,64.0
1751,The Five-Year Engagement,2012,6.2,62,85274,62.0
1752,Frankenweenie,2012,7.0,74,84850,70.0
1753,ParaNorman,2012,7.0,72,83040,70.0
1754,Amour,2012,7.9,94,81128,79.0
1755,Anna Karenina,2012,6.6,63,80994,66.0
1756,Here Comes the Boom,2012,6.4,40,79963,64.0
1757,That's My Boy,2012,5.6,31,79221,56.0
1758,Journey 2: The Mysterious Island,2012,5.8,41,78906,58.0
1759,The Raven,2012,6.4,44,78046,64.0
1760,Mirror Mirror,2012,5.6,46,77029,56.0
1761,To Rome with Love,2012,6.3,54,76927,63.0
1762,Stuck in Love,2012,7.3,49,76186,73.0
1763,Beasts of the Southern Wild,2012,7.3,86,75755,73.0
1764,Disconnect,2012,7.6,64,68223,76.0
1765,Red Dawn,2012,5.4,31,67641,54.0
1766,Rock of Ages,2012,5.9,47,67595,59.0
1767,The Words,2012,7.1,37,67588,71.0
1768,Wanderlust,2012,5.6,53,67246,56.0
1769,Hitchcock,2012,6.8,55,66253,68.0
1770,Upside Down,2012,6.4,45,64400,64.0
1771,House at the End of the Street,2012,5.6,31,64306,56.0
1772,What to Expect When You're Expecting,2012,5.7,41,63518,57.0
1773,Gangs of Wasseypur,2012,8.2,89,62961,82.0
1774,The Iceman,2012,6.9,60,62897,69.0
1775,Act of Valor,2012,6.5,40,62344,65.0
1776,The First Time,2012,6.9,55,59537,69.0
1777,Robot & Frank,2012,7.1,67,57535,71.0
1778,The Man with the Iron Fists,2012,5.4,51,57098,54.0
1779,Rust and Bone,2012,7.5,73,56442,75.0
1780,Paranormal Activity 4,2012,4.6,40,56322,46.0
1781,Frances Ha,2012,7.4,82,56053,74.0
1782,Searching for Sugar Man,2012,8.2,79,55977,82.0
1783,Silent Hill: Revelation,2012,5.0,16,55019,50.0
1784,Trouble with the Curve,2012,6.8,58,53761,68.0
1785,Red Lights,2012,6.2,36,53529,62.0
1786,The Possession,2012,5.9,45,51902,59.0
1787,V/H/S,2012,5.8,55,50729,58.0
1788,Step Up Revolution,2012,6.5,43,49820,65.0
1789,Stand Up Guys,2012,6.5,41,49263,65.0
1790,Arbitrage,2012,6.6,73,45556,66.0
1791,Bullet to the Head,2012,5.7,48,43295,57.0
1792,Bachelorette,2012,5.3,53,41618,53.0
1793,The Odd Life of Timothy Green,2012,6.6,47,41370,66.0
1794,Cosmopolis,2012,5.0,58,40706,50.0
1795,The Collection,2012,6.1,38,40533,61.0
1796,The Imposter,2012,7.5,77,40452,75.0
1797,Stolen,2012,5.5,43,40224,55.0
1798,Kon-Tiki,2012,7.2,62,39817,72.0
1799,Think Like a Man,2012,6.6,51,39573,66.0
1800,A Royal Affair,2012,7.6,73,39291,76.0
1801,The Sessions,2012,7.2,79,38992,72.0
1802,People Like Us,2012,7.1,49,38349,71.0
1803,Gone,2012,5.9,36,37946,59.0
1804,Hope Springs,2012,6.3,65,37580,63.0
1805,One for the Money,2012,5.3,22,37354,53.0
1806,On the Road,2012,6.1,56,36820,61.0
1807,Byzantium,2012,6.5,66,36473,65.0
1808,Deadfall,2012,6.3,52,35506,63.0
1809,Piranha 3DD,2012,3.8,24,35297,38.0
1810,Holy Motors,2012,7.1,84,34984,71.0
1811,The Tall Man,2012,5.9,52,34814,59.0
1812,A Thousand Words,2012,5.9,26,34744,59.0
1813,The Broken Circle Breakdown,2012,7.8,70,34671,78.0
1814,Talaash,2012,7.3,65,34201,73.0
1815,Promised Land,2012,6.6,55,33513,66.0
1816,John Dies at the End,2012,6.4,53,33427,64.0
1817,Liberal Arts,2012,6.7,55,32976,67.0
1818,The Guilt Trip,2012,5.8,50,32888,58.0
1819,The Paperboy,2012,5.8,45,32654,58.0
1820,The Devil Inside,2012,4.2,18,32609,42.0
1821,The Cold Light of Day,2012,4.9,22,32010,49.0
1822,Hit and Run,2012,6.1,50,31669,61.0
1823,Maniac,2012,6.1,47,31037,61.0
1824,Red Tails,2012,5.9,46,30965,59.0
1825,Alex Cross,2012,5.1,30,30255,51.0
1826,Would You Rather,2012,5.7,20,30135,57.0
1827,[REC] 3: Genesis,2012,5.0,45,29365,50.0
1828,The Act of Killing,2012,8.2,89,29329,82.0
1829,The Company You Keep,2012,6.4,57,28779,64.0
1830,Chasing Mavericks,2012,7.2,45,28121,72.0
1831,Wolf Children,2012,8.2,71,27725,82.0
1832,Compliance,2012,6.4,68,27630,64.0
1833,The Three Stooges,2012,5.1,56,27601,51.0
1834,Celeste & Jesse Forever,2012,6.6,59,26809,66.0
1835,Playing for Keeps,2012,5.7,27,26625,57.0
1836,The Wolf of Wall Street,2013,8.2,75,962931,82.0
1837,Gravity,2013,7.7,96,671266,77.0
1838,Iron Man 3,2013,7.2,62,643096,72.0
1839,Man of Steel,2013,7.1,55,618632,71.0
1840,The Hunger Games: Catching Fire,2013,7.5,76,554937,75.0
1841,The Hobbit: The Desolation of Smaug,2013,7.9,66,544099,79.0
1842,12 Years a Slave,2013,8.1,96,543087,81.0
1843,World War Z,2013,7.0,63,529130,70.0
1844,Now You See Me,2013,7.3,50,528054,73.0
1845,Thor: The Dark World,2013,7.0,54,495560,70.0
1846,Prisoners,2013,8.1,74,490990,81.0
1847,Frozen,2013,7.5,74,488581,75.0
1848,Star Trek: Into Darkness,2013,7.7,72,435233,77.0
1849,Oblivion,2013,7.0,54,434836,70.0
1850,Her,2013,8.0,90,433526,80.0
1851,Pacific Rim,2013,6.9,65,429784,69.0
1852,The Great Gatsby,2013,7.3,55,413161,73.0
1853,American Hustle,2013,7.3,90,401556,73.0
1854,Dallas Buyers Club,2013,8.0,84,382771,80.0
1855,The Wolverine,2013,6.7,61,381473,67.0
1856,Elysium,2013,6.6,61,380982,66.0
1857,Rush,2013,8.1,75,373554,81.0
1858,Captain Phillips,2013,7.8,83,370646,78.0
1859,The Conjuring,2013,7.5,68,363817,75.0
1860,We're the Millers,2013,7.0,44,356379,70.0
1861,This Is the End,2013,6.6,67,347206,66.0
1862,Fast & Furious 6,2013,7.1,61,335385,71.0
1863,Despicable Me 2,2013,7.4,62,327824,74.0
1864,Monsters University,2013,7.3,65,274532,73.0
1865,The Secret Life of Walter Mitty,2013,7.3,54,265342,73.0
1866,The Hangover Part III,2013,5.8,30,256849,58.0
1867,About Time,2013,7.8,55,243745,78.0
1868,Lone Survivor,2013,7.5,60,235569,75.0
1869,Kick-Ass 2,2013,6.6,41,228603,66.0
1870,Olympus Has Fallen,2013,6.5,41,226942,65.0
1871,Snowpiercer,2013,7.0,84,221883,70.0
1872,The World's End,2013,7.0,81,219935,70.0
1873,Don Jon,2013,6.6,66,209775,66.0
1874,Ender's Game,2013,6.7,51,204463,67.0
1875,Warm Bodies,2013,6.9,60,202896,69.0
1876,Escape Plan,2013,6.7,49,202420,67.0
1877,The Lone Ranger,2013,6.4,37,201686,64.0
1878,Gangster Squad,2013,6.7,40,189834,67.0
1879,Oz the Great and Powerful,2013,6.3,44,188013,63.0
1880,White House Down,2013,6.4,52,184057,64.0
1881,A Good Day to Die Hard,2013,5.3,28,181741,53.0
1882,Pain & Gain,2013,6.4,45,178924,64.0
1883,Hansel & Gretel: Witch Hunters,2013,6.1,23,176605,61.0
1884,After Earth,2013,4.9,33,175596,49.0
1885,2 Guns,2013,6.7,55,174892,67.0
1886,The Internship,2013,6.3,42,174395,63.0
1887,Blue Jasmine,2013,7.3,78,172521,73.0
1888,The Purge,2013,5.7,41,170274,57.0
1889,The Croods,2013,7.2,55,169799,72.0
1890,Side Effects,2013,7.1,75,163228,71.0
1891,G.I. Joe: Retaliation,2013,5.8,41,159153,58.0
1892,Mama,2013,6.2,57,153148,62.0
1893,Anchorman 2: The Legend Continues,2013,6.3,61,148568,63.0
1894,The Heat,2013,6.6,60,147882,66.0
1895,RED 2,2013,6.6,47,142504,66.0
1896,Evil Dead,2013,6.5,57,141131,65.0
1897,Riddick,2013,6.4,49,139661,64.0
1898,Saving Mr. Banks,2013,7.5,65,133072,75.0
1899,Insidious: Chapter 2,2013,6.6,40,132221,66.0
1900,Enemy,2013,6.9,61,130761,69.0
1901,47 Ronin,2013,6.3,28,130435,63.0
1902,"The Way, Way Back",2013,7.4,68,128629,74.0
1903,The Spectacular Now,2013,7.1,82,126220,71.0
1904,Begin Again,2013,7.4,62,123540,74.0
1905,The Last Stand,2013,6.4,54,123534,64.0
1906,Grown Ups 2,2013,5.4,19,122702,54.0
1907,Carrie,2013,5.9,53,120515,59.0
1908,Jack the Giant Slayer,2013,6.3,51,118340,63.0
1909,The Mortal Instruments: City of Bones,2013,5.9,33,118039,59.0
1910,Last Vegas,2013,6.6,48,117705,66.0
1911,Inside Llewyn Davis,2013,7.5,93,116510,75.0
1912,Blue Is the Warmest Color,2013,7.8,88,115879,78.0
1913,Before Midnight,2013,7.9,94,115606,79.0
1914,The Book Thief,2013,7.6,53,114376,76.0
1915,Locke,2013,7.1,81,112072,71.0
1916,Identity Thief,2013,5.7,35,109529,57.0
1917,Under the Skin,2013,6.3,78,105034,63.0
1918,R.I.P.D.,2013,5.6,25,104339,56.0
1919,The Host,2013,5.9,35,102282,59.0
1920,Trance,2013,6.9,61,102055,69.0
1921,Nebraska,2013,7.7,86,101896,77.0
1922,Parker,2013,6.2,42,101404,62.0
1923,Oculus,2013,6.5,61,101000,65.0
1924,Nymphomaniac: Vol. I,2013,7.0,64,99999,70.0
1925,The Call,2013,6.7,51,99935,67.0
1926,The Family,2013,6.3,42,98943,63.0
1927,Lee Daniels' The Butler,2013,7.2,66,98656,72.0
1928,Percy Jackson: Sea of Monsters,2013,5.9,39,98196,59.0
1929,Only God Forgives,2013,5.7,37,96346,57.0
1930,Out of the Furnace,2013,6.8,63,95111,68.0
1931,Homefront,2013,6.5,40,94541,65.0
1932,Stoker,2013,6.8,58,94318,68.0
1933,Epic,2013,6.7,52,92867,67.0
1934,Safe Haven,2013,6.7,34,91860,67.0
1935,The Counsellor,2013,5.3,48,89219,53.0
1936,Movie 43,2013,4.3,18,89020,43.0
1937,Filth,2013,7.1,56,88982,71.0
1938,The Best Offer,2013,7.8,49,88880,78.0
1939,Jobs,2013,5.9,44,86062,59.0
1940,Philomena,2013,7.6,77,85843,76.0
1941,Bad Grandpa,2013,6.5,54,83765,65.0
1942,Coherence,2013,7.2,65,80821,72.0
1943,Beautiful Creatures,2013,6.2,52,76875,62.0
1944,August: Osage County,2013,7.2,58,76541,72.0
1945,Only Lovers Left Alive,2013,7.3,79,76107,73.0
1946,Cloudy with a Chance of Meatballs 2,2013,6.4,59,75977,64.0
1947,The Bling Ring,2013,5.6,66,75300,56.0
1948,42,2013,7.5,62,74625,75.0
1949,Nymphomaniac: Vol. II,2013,6.7,60,73356,67.0
1950,Snitch,2013,6.5,51,72385,65.0
1951,Turbo,2013,6.5,58,70742,65.0
1952,The Kings of Summer,2013,7.2,61,70521,72.0
1953,Broken City,2013,6.2,49,69695,62.0
1954,Short Term 12,2013,8.0,82,68565,80.0
1955,The Great Beauty,2013,7.8,86,68110,78.0
1956,Delivery Man,2013,6.4,44,68084,64.0
1957,All Is Lost,2013,6.9,87,67670,69.0
1958,Machete Kills,2013,5.6,41,66879,56.0
1959,Horns,2013,6.5,46,66854,65.0
1960,21 & Over,2013,5.9,34,66694,59.0
1961,The Incredible Burt Wonderstone,2013,5.9,44,65619,59.0
1962,Fruitvale Station,2013,7.5,85,65114,75.0
1963,Dark Skies,2013,6.3,50,63941,63.0
1964,What If,2013,6.8,59,61691,68.0
1965,Europa Report,2013,6.5,68,60763,65.0
1966,Dead Man Down,2013,6.5,39,59663,65.0
1967,Old Boy,2013,5.8,49,59518,58.0
1968,Redemption,2013,6.2,43,58764,62.0
1969,Scary Movie 5,2013,3.5,11,56882,35.0
1970,Runner Runner,2013,5.6,36,56639,56.0
1971,The Wind Rises,2013,7.8,83,56586,78.0
1972,Blue Ruin,2013,7.1,77,54943,71.0
1973,Enough Said,2013,7.0,78,54076,70.0
